"Model","m","n","phi","q","p","S","TopKList","MaxRank","Rule","Metric","Value","lambda"
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.4532943660213027,""
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.4230335834793883,""
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.4617794828822191,""
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.49845654243717896,""
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.4681784753276296,""
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.4969654453871428,""
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.4672323539806069,""
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.3959857025575125,""
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.4760014695304476,""
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.49807458027280255,""
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.48482576625523544,""
"IC",5,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.5016731216337291,""
"IC",7,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.47818180811700756,""
"IC",7,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.36977379697081597,""
"IC",7,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.48822453148782835,""
"IC",7,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.5010625438014709,""
"IC",7,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.49332010052480235,""
"IC",7,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.49967583101109414,""
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.4781388349073527,""
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.33430472606383976,""
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.4909240939143416,""
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.49990695082780995,""
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.493123446505335,""
"IC",10,51,1.,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.5010577460787407,""
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.4538576991996949,0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.4225342400201963,0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.46161488071777496,0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.5015020053307706,0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.4713809950888745,0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.5011257343584649,0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Borda","Gap",0.45643655194505717,0.1
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Plurality","Gap",0.4199858579055506,0.1
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Coombs","Gap",0.46354619856767226,0.1
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","QR","Gap",0.5102545685626773,0.1
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","SDM","Gap",0.4760539372346081,0.1
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2}","Automatic","Fallback","Gap",0.5038058771657803,0.1
