"Model","m","n","phi","q","p","S","TopKList","MaxRank","Rule","Metric","Value"
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","NeverFirstRate",0.
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","NoiseFlipRate",0.46
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","CondorcetExistRate",0.9215
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","CondorcetEfficiency",0.9001627780792186
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","MidScore",0.3425
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top1Acceptability",0.39425490196078405
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top2Acceptability",0.724519607843137
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top3Acceptability",1.
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","NeverFirstRate",0.
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","NoiseFlipRate",0.571
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","CondorcetExistRate",0.9215
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","CondorcetEfficiency",0.7742810634834509
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","MidScore",0.3355
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top1Acceptability",0.40299999999999975
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top2Acceptability",0.7004215686274508
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top3Acceptability",1.
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","NeverFirstRate",0.
"IC",3,51,1.,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","NoiseFlipRate",0.4975
