"Model","m","n","phi","q","p","S","TopKList","MaxRank","Rule","Metric","Value"
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","NeverFirstRate",0.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","NoiseFlipRate",0.02
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","CondorcetExistRate",1.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","CondorcetEfficiency",1.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","MidScore",0.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top1Acceptability",0.8513823529411758
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top2Acceptability",0.9809509803921564
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top3Acceptability",1.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","NeverFirstRate",0.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","NoiseFlipRate",0.3455
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","CondorcetExistRate",1.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","CondorcetEfficiency",1.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","MidScore",0.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top1Acceptability",0.8513823529411758
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top2Acceptability",0.9809509803921564
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top3Acceptability",1.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","NeverFirstRate",0.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","NoiseFlipRate",0.245
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","CondorcetExistRate",1.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","CondorcetEfficiency",1.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","MidScore",0.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","Top1Acceptability",0.8513823529411758
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","Top2Acceptability",0.9809509803921564
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Coombs","Top3Acceptability",1.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","NeverFirstRate",0.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","NoiseFlipRate",0.0015
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","CondorcetExistRate",1.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","CondorcetEfficiency",1.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","MidScore",0.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","Top1Acceptability",0.8513823529411758
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","Top2Acceptability",0.9809509803921564
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","QR","Top3Acceptability",1.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","NeverFirstRate",0.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","NoiseFlipRate",0.0025
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","CondorcetExistRate",1.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","CondorcetEfficiency",1.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","MidScore",0.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","Top1Acceptability",0.8513823529411758
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","Top2Acceptability",0.9809509803921564
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","SDM","Top3Acceptability",1.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","NeverFirstRate",0.0765
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","NoiseFlipRate",0.6415
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","CondorcetExistRate",1.
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","CondorcetEfficiency",0.583
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","MidScore",0.198
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top1Acceptability",0.532813725490196
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top2Acceptability",0.7832647058823528
"Mallows",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Fallback","Top3Acceptability",1.
"Mallows",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","NeverFirstRate",0.
"Mallows",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","NoiseFlipRate",0.
"Mallows",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","CondorcetExistRate",1.
"Mallows",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","CondorcetEfficiency",1.
"Mallows",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","MidScore",0.
"Mallows",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top1Acceptability",0.8506274509803915
"Mallows",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top2Acceptability",0.9780882352941171
"Mallows",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Borda","Top3Acceptability",0.9966568627450981
"Mallows",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","NeverFirstRate",0.
"Mallows",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","NoiseFlipRate",0.0015
"Mallows",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","CondorcetExistRate",1.
"Mallows",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","CondorcetEfficiency",1.
"Mallows",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","MidScore",0.
"Mallows",5,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic","Plurality","Top1Acceptability",0.8506274509803915
