"Model","m","n","phi","q","p","S","TopKList","MaxRank","lambda","Rule","Metric","Value"
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Borda","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Borda","NoiseFlipRate",0.4495
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Borda","CondorcetExistRate",0.908
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Borda","CondorcetEfficiency",0.9041850220264317
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Borda","MidScore",0.319
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Borda","Top1Acceptability",0.39323529411764685
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Borda","Top2Acceptability",0.7240980392156859
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Borda","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Plurality","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Plurality","NoiseFlipRate",0.5715
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Plurality","CondorcetExistRate",0.908
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Plurality","CondorcetEfficiency",0.7582599118942731
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Plurality","MidScore",0.3205
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Plurality","Top1Acceptability",0.4019117647058821
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Plurality","Top2Acceptability",0.6997156862745094
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Plurality","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Coombs","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Coombs","NoiseFlipRate",0.4815
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Coombs","CondorcetExistRate",0.908
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Coombs","CondorcetEfficiency",0.9598017621145375
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Coombs","MidScore",0.325
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Coombs","Top1Acceptability",0.3863039215686273
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Coombs","Top2Acceptability",0.7241568627450978
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Coombs","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"QR","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"QR","NoiseFlipRate",0.5575
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"QR","CondorcetExistRate",0.908
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"QR","CondorcetEfficiency",0.7428414096916299
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"QR","MidScore",0.332
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"QR","Top1Acceptability",0.366705882352941
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"QR","Top2Acceptability",0.7336862745098034
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"QR","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"SDM","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"SDM","NoiseFlipRate",0.47
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"SDM","CondorcetExistRate",0.908
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"SDM","CondorcetEfficiency",0.8711453744493393
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"SDM","MidScore",0.3215
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"SDM","Top1Acceptability",0.3852254901960782
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"SDM","Top2Acceptability",0.7298529411764701
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"SDM","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Fallback","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Fallback","NoiseFlipRate",0.669
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Fallback","CondorcetExistRate",0.908
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Fallback","CondorcetEfficiency",0.3458149779735683
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Fallback","MidScore",0.317
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Fallback","Top1Acceptability",0.33618627450980365
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Fallback","Top2Acceptability",0.6680098039215684
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.,"Fallback","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Borda","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Borda","NoiseFlipRate",0.4475
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Borda","CondorcetExistRate",0.921
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Borda","CondorcetEfficiency",0.9049945711183496
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Borda","MidScore",0.3205
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Borda","Top1Acceptability",0.39399999999999985
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Borda","Top2Acceptability",0.726539215686274
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Borda","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Plurality","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Plurality","NoiseFlipRate",0.5585
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Plurality","CondorcetExistRate",0.921
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Plurality","CondorcetEfficiency",0.757871878393051
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Plurality","MidScore",0.214
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Plurality","Top1Acceptability",0.404441176470588
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Plurality","Top2Acceptability",0.6979607843137252
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Plurality","Top3Acceptability",1.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Coombs","NeverFirstRate",0.
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Coombs","NoiseFlipRate",0.4815
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Coombs","CondorcetExistRate",0.921
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Coombs","CondorcetEfficiency",0.9609120521172638
"Polarized",3,51,0.15,"2/3",1.5849625007211563,2000,"{1, 2, 3}","Automatic",0.1,"Coombs","MidScore",0.327
