"m","n","phi","Rule","CentralWinnerRate"
3,51,0.01,"Borda",1
3,51,0.01,"Coombs",1
3,51,0.01,"Fallback",0.8635
3,51,0.01,"QR",1
3,51,0.01,"SDM",1
3,51,0.01,"Plurality",1
3,51,0.108,"Borda",1
3,51,0.108,"Coombs",1
3,51,0.108,"Fallback",0.7155
3,51,0.108,"QR",1
3,51,0.108,"SDM",1
3,51,0.108,"Plurality",1
3,51,0.20600000000000002,"Borda",1
3,51,0.20600000000000002,"Coombs",1
3,51,0.20600000000000002,"Fallback",0.439
3,51,0.20600000000000002,"QR",0.999
3,51,0.20600000000000002,"SDM",1
3,51,0.20600000000000002,"Plurality",1
3,51,0.30400000000000005,"Borda",1
3,51,0.30400000000000005,"Coombs",1
3,51,0.30400000000000005,"Fallback",0.359
3,51,0.30400000000000005,"QR",0.994
3,51,0.30400000000000005,"SDM",1
3,51,0.30400000000000005,"Plurality",1
3,51,0.402,"Borda",0.999
3,51,0.402,"Coombs",0.9995
3,51,0.402,"Fallback",0.3405
3,51,0.402,"QR",0.981
3,51,0.402,"SDM",0.999
3,51,0.402,"Plurality",0.999
3,51,0.5,"Borda",0.9905
3,51,0.5,"Coombs",0.9955
3,51,0.5,"Fallback",0.3255
3,51,0.5,"QR",0.953
3,51,0.5,"SDM",0.9865
3,51,0.5,"Plurality",0.99
3,51,0.5980000000000001,"Borda",0.966
3,51,0.5980000000000001,"Coombs",0.9725
3,51,0.5980000000000001,"Fallback",0.3345
3,51,0.5980000000000001,"QR",0.9125
3,51,0.5980000000000001,"SDM",0.9535
3,51,0.5980000000000001,"Plurality",0.9575
3,51,0.6960000000000001,"Borda",0.891
3,51,0.6960000000000001,"Coombs",0.8985
3,51,0.6960000000000001,"Fallback",0.3325
3,51,0.6960000000000001,"QR",0.8215
3,51,0.6960000000000001,"SDM",0.8805
3,51,0.6960000000000001,"Plurality",0.862
3,51,0.794,"Borda",0.753
3,51,0.794,"Coombs",0.7485
3,51,0.794,"Fallback",0.315
3,51,0.794,"QR",0.6995
3,51,0.794,"SDM",0.7455
3,51,0.794,"Plurality",0.7265
3,51,0.892,"Borda",0.5715
3,51,0.892,"Coombs",0.572
3,51,0.892,"Fallback",0.3395
3,51,0.892,"QR",0.531
3,51,0.892,"SDM",0.566
3,51,0.892,"Plurality",0.547
3,51,0.99,"Borda",0.35
3,51,0.99,"Coombs",0.345
3,51,0.99,"Fallback",0.3315
3,51,0.99,"QR",0.3425
3,51,0.99,"SDM",0.346
3,51,0.99,"Plurality",0.3505
5,51,0.01,"Borda",1
5,51,0.01,"Coombs",1
5,51,0.01,"Fallback",0.881
5,51,0.01,"QR",1
5,51,0.01,"SDM",1
5,51,0.01,"Plurality",1
5,51,0.108,"Borda",1
5,51,0.108,"Coombs",1
5,51,0.108,"Fallback",0.8405
5,51,0.108,"QR",1
5,51,0.108,"SDM",1
5,51,0.108,"Plurality",1
5,51,0.20600000000000002,"Borda",1
5,51,0.20600000000000002,"Coombs",1
5,51,0.20600000000000002,"Fallback",0.791
