"Model","m","n","phi","S","MaxRank","lambda","Rule","q","p","Metric","Value"
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.55,,"Top1Acceptability",0.15541176470588208
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.55,,"Top2Acceptability",0.3127843137254899
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.55,,"Gap",0.5046030297802754
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.55,,"CondorcetEfficiency",0.5978441127694859
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.55,,"CondorcetExistRate",0.603
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.55,,"MidScore",0.5965
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6,,"Top1Acceptability",0.15218627450980365
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6,,"Top2Acceptability",0.3070098039215684
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6,,"Gap",0.5058423771192334
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6,,"CondorcetEfficiency",0.5688225538971807
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6,,"CondorcetExistRate",0.603
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6,,"MidScore",0.6271666666666667
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6666666666666666,,"Top1Acceptability",0.1448823529411762
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6666666666666666,,"Top2Acceptability",0.2927352941176467
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6666666666666666,,"Gap",0.5061818289755948
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6666666666666666,,"CondorcetEfficiency",0.5174129353233831
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6666666666666666,,"CondorcetExistRate",0.603
"OppPrefs",7,51,0.15,2000,"Automatic",0.2,"QR",0.6666666666666666,,"MidScore",0.6848333333333335
