"Model","m","n","phi","S","MaxRank","lambda","Rule","q","p","Metric","Value"
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.55,,"Top1Acceptability",0.16785294117647026
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.55,,"Top2Acceptability",0.338441176470588
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.55,,"Gap",0.5045023840066211
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.55,,"CondorcetEfficiency",0.66171875
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.55,,"CondorcetExistRate",0.64
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.55,,"MidScore",0.43033333333333323
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.6666666666666666,,"Top1Acceptability",0.16381372549019577
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.6666666666666666,,"Top2Acceptability",0.3308137254901958
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.6666666666666666,,"Gap",0.5058335999072817
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.6666666666666666,,"CondorcetEfficiency",0.615625
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.6666666666666666,,"CondorcetExistRate",0.64
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.6666666666666666,,"MidScore",0.42516666666666664
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.8,,"Top1Acceptability",0.15840196078431346
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.8,,"Top2Acceptability",0.3173039215686272
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.8,,"Gap",0.500544812146463
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.8,,"CondorcetEfficiency",0.50625
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.8,,"CondorcetExistRate",0.64
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.8,,"MidScore",0.436
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.95,,"Top1Acceptability",0.14604901960784286
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.95,,"Top2Acceptability",0.2920588235294115
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.95,,"Gap",0.49907214907711106
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.95,,"CondorcetEfficiency",0.22265625
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.95,,"CondorcetExistRate",0.64
"OppPrefs",7,51,0.15,2000,"Automatic",0,"QR",0.95,,"MidScore",0.42466666666666664
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.55,,"Top1Acceptability",0.16441176470588204
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.55,,"Top2Acceptability",0.33018627450980365
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.55,,"Gap",0.5027840735539306
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.55,,"CondorcetEfficiency",0.6630179827990618
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.55,,"CondorcetExistRate",0.6395
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.55,,"MidScore",0.513
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.6666666666666666,,"Top1Acceptability",0.15766666666666637
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.6666666666666666,,"Top2Acceptability",0.3185098039215684
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.6666666666666666,,"Gap",0.5050993892115796
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.6666666666666666,,"CondorcetEfficiency",0.6106333072713057
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.6666666666666666,,"CondorcetExistRate",0.6395
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.6666666666666666,,"MidScore",0.5686666666666665
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.8,,"Top1Acceptability",0.1508921568627448
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.8,,"Top2Acceptability",0.3052254901960781
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.8,,"Gap",0.5055703982792197
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.8,,"CondorcetEfficiency",0.4831899921813917
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.8,,"CondorcetExistRate",0.6395
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.8,,"MidScore",0.5855
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.95,,"Top1Acceptability",0.14552941176470563
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.95,,"Top2Acceptability",0.2878921568627448
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.95,,"Gap",0.4940600956751778
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.95,,"CondorcetEfficiency",0.20875684128225175
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.95,,"CondorcetExistRate",0.6395
"OppPrefs",7,51,0.15,2000,"Automatic",0.1,"QR",0.95,,"MidScore",0.4554999999999999
